Speaker	GlobalIndex	StartTime	StopTime	Tokens	NGrams	SelfShared	OtherShared	N	OverlapCount	OverlapSeconds	AvgOverlap	Day	Reality
g	99	2:5:36	2:5:38	1	0	0	0	5	0	0	0	1	7
f	100	2:9:22	2:9:26	5	1	0	0	5	0	0	0	1	7
f	101	2:11:21	2:11:25	9	5	0	0	5	0	0	0	1	7
g	102	2:13:46	2:13:48	6	2	0	0	5	0	0	0	1	7
f	103	2:14:16	2:14:25	9	5	0	0	5	0	0	0	1	7
f	104	2:14:27	2:14:30	1	0	0	0	5	0	0	0	1	7
f	105	2:15:53	2:15:57	6	2	0	0	5	0	0	0	1	7
g	106	2:18:4	2:18:13	15	11	0	0	5	0	0	0	1	7
f	107	2:18:41	2:18:42	2	0	0	0	5	0	0	0	1	7
f	108	2:18:42	2:18:51	5	1	0	0	5	0	0	0	1	7
f	109	2:22:1	2:22:4	9	5	0	0	5	0	0	0	1	7
g	110	2:22:34	2:22:39	1	0	0	0	5	0	0	0	1	7
g	111	2:24:37	2:24:43	8	4	0	0	5	0	0	0	1	7
f	112	2:24:39	2:24:45	1	0	0	0	5	1	4	4	1	7
f	113	2:24:52	2:24:57	1	0	0	0	5	0	0	0	1	7
g	114	2:25:8	2:25:9	1	0	0	0	5	0	0	0	1	7
f	115	2:27:45	2:27:52	3	0	0	0	5	0	0	0	1	7
g	116	2:30:5	2:30:10	6	2	0	0	5	0	0	0	1	7
g	117	2:31:8	2:31:11	8	4	0	0	5	0	0	0	1	7
f	118	2:31:12	2:31:21	1	0	0	0	5	0	0	0	1	7
g	119	2:31:36	2:31:37	11	7	0	0	5	0	0	0	1	7
g	120	2:32:24	2:32:31	5	1	0	0	5	0	0	0	1	7
g	121	2:33:26	2:33:35	4	0	0	0	5	0	0	0	1	7
f	122	2:33:43	2:33:46	4	0	0	0	5	0	0	0	1	7
f	123	2:33:50	2:33:59	3	0	0	0	5	0	0	0	1	7
f	124	2:37:28	2:37:30	1	0	0	0	5	0	0	0	1	7
f	125	2:40:34	2:40:34	1	0	0	0	5	0	0	0	1	7
f	126	2:44:19	2:44:20	1	0	0	0	5	0	0	0	1	7
g	127	2:45:33	2:45:37	1	0	0	0	5	0	0	0	1	7
g	128	2:46:23	2:46:23	1	0	0	0	5	0	0	0	1	7
g	129	2:46:59	2:47:3	10	6	0	0	5	0	0	0	1	7
g	130	2:47:11	2:47:17	8	4	0	0	5	0	0	0	1	7
g	131	2:47:58	2:48:1	7	3	0	0	5	0	0	0	1	7
g	132	2:48:39	2:48:47	1	0	0	0	5	0	0	0	1	7
g	133	2:49:44	2:49:49	10	6	0	0	5	0	0	0	1	7
g	134	2:50:12	2:50:14	14	10	0	0	5	0	0	0	1	7
f	135	2:50:19	2:50:24	1	0	0	0	5	0	0	0	1	7
f	136	2:52:14	2:52:18	1	0	0	0	5	0	0	0	1	7
g	137	2:53:7	2:53:10	7	3	0	0	5	0	0	0	1	7
g	138	2:56:6	2:56:9	1	0	0	0	5	0	0	0	1	7
g	139	2:56:7	2:56:11	6	2	0	0	5	0	0	0	1	7
g	140	2:58:22	2:58:29	8	4	0	0	5	0	0	0	1	7
g	142	3:0:31	3:0:38	6	2	0	0	5	0	0	0	1	7
f	141	3:0:32	3:0:34	3	0	0	0	5	1	6	6	1	7
g	143	3:1:7	3:1:7	1	0	0	0	5	0	0	0	1	7
g	144	3:7:49	3:7:51	1	0	0	0	5	0	0	0	1	7
f	145	3:8:31	3:8:37	1	0	0	0	5	0	0	0	1	7
g	146	3:8:35	3:8:41	17	13	0	0	5	1	2	2	1	7
f	147	3:8:44	3:8:50	6	2	0	0	5	0	0	0	1	7
g	148	3:9:24	3:9:31	4	0	0	0	5	0	0	0	1	7
g	149	3:10:31	3:10:39	1	0	0	0	5	0	0	0	1	7
g	150	3:11:41	3:11:44	9	5	0	0	5	0	0	0	1	7
g	151	3:12:4	3:12:5	6	2	0	0	5	0	0	0	1	7
f	152	3:12:51	3:12:51	3	0	0	0	5	0	0	0	1	7
g	153	3:13:6	3:13:6	15	11	0	0	5	0	0	0	1	7
g	154	3:13:25	3:13:29	6	2	0	0	5	0	0	0	1	7
f	155	3:17:42	3:17:51	1	0	0	0	5	0	0	0	1	7
g	156	3:18:8	3:18:11	1	0	0	0	5	0	0	0	1	7
f	157	3:18:52	3:19:0	15	11	0	0	5	0	0	0	1	7
g	158	3:19:4	3:19:6	10	6	0	0	5	0	0	0	1	7
f	159	3:20:23	3:20:27	1	0	0	0	5	0	0	0	1	7
f	160	3:20:59	3:21:8	1	0	0	0	5	0	0	0	1	7
g	161	3:23:57	3:24:6	7	3	0	0	5	0	0	0	1	7
f	162	3:24:59	3:25:7	1	0	0	0	5	0	0	0	1	7
g	163	3:25:39	3:25:47	1	0	0	0	5	0	0	0	1	7
