Global Index,Reality,EyeCon,Familiar,DevScore,OS,SS
81,1,false,true,28,0.18161997100157665,0.18555013631670456
82,1,false,true,154,0.21202040836231884,0.22500440378592243
83,1,true,true,20,0.23046320248513527,0.27901956959183655
84,1,true,true,89,0.2120237494223959,0.23968423612151046
85,1,false,true,57,0.22259599685312498,0.2344085071875001
86,1,false,true,37,0.193961625655629,0.24679074590200006
87,1,true,false,204,0.20198434094050635,0.21388164215900615
88,1,true,false,117,0.20136978582152465,0.23549286570720718
89,1,false,false,11,0.22688083037896134,0.23308889952217898
90,1,false,false,73,0.2199875584040405,0.2128794574797978
91,1,true,false,26,0.20552360103441294,0.28360751254437394
92,1,true,false,49,0.2380377888829806,0.2436264724354286
93,1,false,false,43,0.20947870517023817,0.21560860183113761
94,1,false,false,30,0.2454512508789218,0.27573704337254895
95,1,true,true,146,0.22960705150568195,0.279410203074286
96,1,true,true,187,0.23042018199526304,0.2346187006455026
97,1,false,true,66,0.19101487786224475,0.21150145133174056
98,1,false,true,4,0.20619601714696129,0.20896159647540974
99,1,true,true,28,0.19922591955058822,0.25341555467619886
100,1,true,true,38,0.20799144165934966,0.2272046498130081
101,1,false,true,154,0.20399261100697247,0.2230585792820368
102,1,false,true,102,0.19868145770218984,0.210302582126087
103,1,true,false,38,0.21126800470518875,0.2304016452268869
104,1,true,false,81,0.2193645546553399,0.23271742755186609
105,1,false,false,97,0.1807779303603219,0.2052961688946239
106,1,false,false,35,0.20100679581944447,0.2918527357383562
107,1,true,false,60,0.23669523855321092,0.24966230267741918
108,1,true,false,32,0.20689647871312222,0.21018767385339365
109,1,false,false,54,0.23992995793203886,0.32378476972352943
110,1,false,false,67,0.22648210368426963,0.2538142107762712
111,1,true,true,86,0.21762095507454565,0.2645873565137614
112,1,true,true,7,0.2103915134901243,0.23643357069565205
113,1,false,true,27,0.2012431480496454,0.23571483875714289
114,1,false,true,57,0.2584727741252604,0.26546754109424076
115,1,true,true,24,0.20926259202604178,0.22661025666202103
116,1,true,true,7,0.2562397183282512,0.26596464476106196
117,1,false,true,27,0.22127298956868113,0.22092070681424655
118,1,false,true,38,0.212819458443662,0.24083352695265722
119,1,true,false,37,0.20118271937313448,0.21064785127669172
120,1,true,false,135,0.1980516784189944,0.22943396886592177
