Global Index,Reality,OS,SS
77,0,0.5883781236378377,0.5607206277956985
78,0,0.5609668603870973,0.5588558678709679
79,0,0.4811789838181818,0.5549428147603302
80,0,0.5144891782364343,0.5204860660852714
81,0,0.5078532639887133,0.5165864578893907
82,0,0.4631636667281555,0.5392712197572813
83,0,0.5331608542567571,0.528512270187755
84,0,0.5107292890989581,0.5574647993802085
85,0,0.5311663776562501,0.5558279326406245
86,0,0.4963674740816326,0.5284182562600004
87,0,0.5063366756562502,0.5325457454968946
88,0,0.5886252694279281,0.57014971927027
89,0,0.5219852467723971,0.5204834166658593
90,0,0.5315016171658292,0.5310556641414143
91,0,0.4743006659747964,0.5481262143272357
92,0,0.554298628616114,0.5344949080190474
93,0,0.502643878096407,0.49778581502095826
94,0,0.5391678009803924,0.5632050645098041
95,0,0.5170426006171428,0.5724281820571426
96,0,0.4900189980899471,0.47307506816402123
97,0,0.5074874996518773,0.49180593356655306
98,0,0.4676121312119565,0.47068922276502734
99,0,0.4973628539181287,0.528266229304094
100,0,0.4232371202903227,0.4846670535609756
101,0,0.5238758940715601,0.549009030198165
102,0,0.4729979384817517,0.47245918931159403
103,0,0.5568740138682352,0.5799577886014153
104,0,0.4743744049665074,0.5086770921291868
105,0,0.5379991580635388,0.5772717371532261
106,0,0.37830139078767117,0.5567201140424658
107,0,0.515667080847558,0.5003264587419354
108,0,0.5420527076022628,0.497456334138462
109,0,0.5187591510388351,0.5728593022254905
110,0,0.4581922116516855,0.4860240900192093
111,0,0.5343052434545454,0.5859321377064222
112,0,0.5477936409752319,0.5543012145341611
113,0,0.5839621757553956,0.5312432713142856
114,0,0.5400130046421874,0.5743690608586385
115,0,0.5637378233449472,0.5430689987874567
116,0,0.5935476796460182,0.6010585944690267
117,0,0.5311992276612018,0.5473952224547941
118,0,0.5261902044366199,0.5210936158741262
119,0,0.47154073256390977,0.5154244885714285
120,0,0.4881893529611114,0.5465463952067039
121,0,0.39139073489999987,0.5387834490000001
122,0,0.56134764553719,0.5835526037190079
123,0,0.523374785324675,0.5361728066451613
124,0,0.5378668929585982,0.5654454881624207
125,0,0.6130227221100919,0.5681162884403673
126,0,0.5259290086042778,0.6045002769090907
127,1,0.5001707105816328,0.5255726065641027
0,1,0.5037567847368423,0.5793199066666668
1,1,0.5114404294794521,0.48937444694482773
2,1,0.5117444731846691,0.4879488657108017
3,1,0.49365696945652215,0.5407057741758244
4,1,0.5112223074144736,0.49521937537192046
5,1,0.611012337184466,0.6303954996190475
6,1,0.5894740858239699,0.5817023599626866
7,1,0.557681660068831,0.5495538575816992
8,1,0.4737855854897669,0.4972075737986843
9,1,0.5666780599494942,0.5469025706582278
10,1,0.5265340401017371,0.5210895046281088
11,1,0.5398527222760182,0.5522248846517862
12,1,0.5236428624547872,0.5515557809411764
13,1,0.4865440654146342,0.5573277443902441
14,1,0.5348542893907561,0.5262533608126317
15,1,0.5586731960423071,0.5552833767846154
16,1,0.45567821221839117,0.45042458704571453
17,1,0.4995910381578947,0.5000178808712122
18,1,0.5093849740203049,0.5393038361111111
19,1,0.5026259375919999,0.493346248142857
20,1,0.5766724808509615,0.5734288333886257
21,1,0.48579086070370375,0.5074501993602485
22,1,0.5391192290180723,0.556300544287425
23,1,0.5169870851098901,0.5370631071823208
24,1,0.4867230240697673,0.4745344760000001
25,1,0.5465181053941813,0.5736744677591243
26,1,0.5035665454037856,0.5445360572555209
27,1,0.5178104772906982,0.5278027523895349
28,1,0.48726313694527357,0.6017481587000002
29,1,0.4395471696838096,0.5260967989711536
30,1,0.5832591498663795,0.574920746275641
31,1,0.5561481986297875,0.5963695245378151
32,1,0.4599406637149121,0.4476196943933919
33,1,0.5213978227272731,0.598414468045977
34,1,0.4836701084666667,0.4729574315083798
35,1,0.5282174462810459,0.5290024448157894
36,1,0.5033050456637168,0.5159455269026549
37,1,0.4824514305128206,0.5391412216282052
38,1,0.45901848799449546,0.49661933341388886
39,1,0.47820785540451116,0.4891584496992481
40,1,0.4503044188655465,0.42813389611016955
41,1,0.5109031817582413,0.5511649277348064
42,1,0.5363914073464053,0.5653943959477125
43,1,0.4801902438475611,0.5036179162883436
44,1,0.5622420552357723,0.5604193666393443
45,1,0.528357697659794,0.6044686401616164
46,1,0.5132811965918369,0.5075876054422682
47,1,0.5165039251851854,0.5251149573629629
48,1,0.43275308970422527,0.46229754349999985
49,1,0.4650709595341236,0.48553929395545015
50,1,0.5205191925219299,0.5093932476387663
51,1,0.4311422479428574,0.4880170387356323
52,1,0.5304052360804601,0.5367110074309391
53,1,0.47000885163636363,0.4872428225454545
54,1,0.46011693503999995,0.5132632450714284
55,1,0.46959903075301207,0.48161518040963897
56,1,0.5017143425380957,0.5324768394003908
57,1,0.5132630164393943,0.5314206650075075
58,1,0.5659559488720296,0.5606311377380947
59,1,0.5240180706508311,0.5203032373189574
60,1,0.5893124632227487,0.6039911319176464
61,1,0.5223155086133335,0.5398875431410668
62,1,0.5798803564963505,0.6212015857414637
63,1,0.47617911584503547,0.5039128833778171
64,1,0.49966002527083325,0.5379783820487802
65,1,0.5092491385364584,0.5752155008854162
66,1,0.47451049732413814,0.5381696441944447
