Global Index,vs. Reality,EyeCon,Familiar,DevScore,OS,SS,OSg,SSg,OSf,SSf
3,10,true,true,53,0.0738468,0.24001643,0.58707386,0.55007756,0.08393484,1.0
4,1,false,true,35,0.2583663,0.06560383,0.15928541,0.06560383,0.2583663,0.28409106
4,2,false,true,35,0.15928541,0.3676718,0.43164548,0.3676718,0.17226978,0.31431526
4,3,false,true,35,0.17226978,0.28409106,0.21374346,0.2547475,1.0,0.28570062
4,4,false,true,35,0.43164548,0.2547475,0.08291575,0.30924606,0.102533504,0.12514254
4,5,false,true,35,0.21374346,0.30924606,0.31431526,0.08043438,0.12147358,0.35911357
4,6,false,true,35,0.08291575,0.08043438,0.35486358,0.06192655,0.46514434,0.025559528
4,7,false,true,35,0.31431526,0.06192655,0.17686114,0.35486358,0.24824487,0.07082661
4,8,false,true,35,1.0,0.31431526,0.8745993,0.14977004,0.049414996,0.1419425
4,9,false,true,35,0.35486358,0.35486358,1.0000001,0.14974345,0.10694803,0.23958516
4,10,false,true,35,0.17686114,0.14977004,0.05340405,0.46514434,0.2591343,0.22465566
5,1,false,true,34,-0.017641079,0.05910684,0.10786857,0.05910684,-0.017641079,0.3477136
5,2,false,true,34,0.015600699,0.3477136,0.15410149,0.44886756,0.015600699,0.2010606
5,3,false,true,34,0.10786857,0.44886756,0.17130211,0.2910133,0.16211899,0.11577356
5,4,false,true,34,0.16211899,0.2010606,0.16035974,0.551327,0.27525946,0.15231544
5,5,false,true,34,0.15410149,0.2910133,0.1912955,-0.014771797,0.12312312,0.010822322
5,6,false,true,34,0.27525946,0.11577356,0.089664295,0.19539778,0.34159976,0.2147033
5,7,false,true,34,0.17130211,0.551327,0.2147033,0.17333055,1.0000001,0.23545977
5,8,false,true,34,0.16035974,-0.014771797,0.18371576,0.2642944,0.24001643,0.2352692
5,9,false,true,34,0.1912955,0.19539778,0.99999994,0.18371576,0.08177428,0.2352692
5,10,false,true,34,0.089664295,0.17333055,0.3243322,0.08177428,0.14925265,0.08079387
6,1,true,true,18,0.034380853,0.08315621,0.23585208,0.08315621,0.034380853,0.99999994
6,2,true,true,18,0.23585208,0.048223197,0.23982242,0.048223197,0.23585208,0.23585208
6,3,true,true,18,0.23585208,0.99999994,0.069494136,0.37270743,0.11130993,0.31431526
6,4,true,true,18,0.23982242,0.37270743,1.0,0.21099934,0.21759005,0.26566428
6,5,true,true,18,0.069494136,0.21099934,0.16236876,0.11130993,0.36261174,0.63073856
6,6,true,true,18,0.11130993,0.23585208,0.20722061,0.16236876,0.17245716,0.63121057
6,7,true,true,18,1.0,0.11130993,0.31013,0.36944434,0.68285936,0.10331397
